,NCBI GeneID,Gene symbol,avg. control,avg. Nosema,avg. BQCV,avg. both,log(FC) Nosema,log(FC) BQCV,log(FC) both,norm. log(FC) Nosema,norm. log(FC) BQCV,norm. log(FC) both
5878,726463,LOC726463,2.0,1.6666666666666667,0.0,0.5,-0.18232035679467454,-13.815510557964274,-1.3862903611278907,0.4747879628240659,-1.0,0.3823933585081998
6048,100578625,LOC100578625,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,1.3862946111198593,1.6094381124340806,-13.815510557964274,0.6444749134827275,0.7829336641007094,-1.0
6165,727213,unnamed,3.0,2.0,1.0,0.0,-0.4054636081092894,-1.0986092886726098,-13.815510557964274,0.4506491533328003,0.46991681207841607,-1.0
6171,100576410,LOC100576410,0.3333333333333333,0.6666666666666666,0.0,0.5,0.6931476805598203,-13.815510557964274,0.40546577477460877,0.5694928487880899,-1.0,0.5816747086743492
6172,100577244,unnamed,0.3333333333333333,0.0,0.3333333333333333,0.5,-13.815510557964274,9.999994999180668e-07,0.40546577477460877,-1.0,0.5969026004434619,0.5816747086743492
6217,100576093,LOC100576093,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,-0.6931451805619453,9.999994999180668e-07,-13.815510557964274,0.4195288275749247,0.5969026004434619,-1.0
6258,100578400,LOC100578400,1.6666666666666667,2.6666666666666665,1.0,0.0,0.4700042542455401,-0.5108239571007129,-13.815510557964274,0.5453540203660097,0.5378575409143755,-1.0
6332,100576537,LOC100576537,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0986126220013874,0.6931476805598203,-13.815510557964274,0.6133545426514886,0.677021800665004,-1.0
6395,100577787,LOC100577787,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,1.3862946111198593,0.6931476805598203,-13.815510557964274,0.6444749134827275,0.677021800665004,-1.0
6416,100578115,LOC100578115,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6931476805598203,-13.815510557964274,-13.815510557964274,0.5694928487880899,-1.0,-1.0
6452,100577340,unnamed,0.6666666666666666,2.0,0.6666666666666666,0.0,1.0986126220013874,9.999994999180668e-07,-13.815510557964274,0.6133545426514886,0.5969026004434619,-1.0
6676,100576282,LOC100576282,1.3333333333333333,2.3333333333333335,1.0,0.0,0.5596163593638309,-0.28768073911933645,-13.815510557964274,0.5550479256076781,0.5636501424818781,-1.0
6702,552558,LOC552558,3.0,5.666666666666667,2.6666666666666665,0.0,0.6359892961316214,-0.11778191065701629,-13.815510557964274,0.5633096667092581,0.5832883498580923,-1.0
6713,725087,LOC725087,0.6666666666666666,0.3333333333333333,0.0,0.0,-0.6931451805619453,-13.815510557964274,-13.815510557964274,0.4195288275749247,-1.0,-1.0
6753,100315678,Mir996,2.0,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
6801,100578391,LOC100578391,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,-1.6094329124466005,-0.22314230131499105,-13.815510557964274,0.32040821841985534,0.5711099892436802,-1.0
7089,100576596,unnamed,0.6666666666666666,0.6666666666666666,1.0,0.0,9.999994999180668e-07,0.40546577477460877,-13.815510557964274,0.4945108111374954,0.6437693234388444,-1.0
7169,724308,LOC724308,1.0,1.6666666666666667,0.3333333333333333,0.0,0.5108262237658107,-1.0986092886726098,-13.815510557964274,0.5497699896570494,0.46991681207841607,-1.0
7209,100577470,unnamed,3.0,3.6666666666666665,2.0,0.0,0.20067151364363447,-0.4054636081092894,-13.815510557964274,0.5162186031985716,0.5500358967126486,-1.0
7234,100579014,unnamed,1.3333333333333333,2.0,3.6666666666666665,0.0,0.40546577477460877,1.0116012753147774,-13.815510557964274,0.5383724869715345,0.7138311052970587,-1.0
7259,100578037,unnamed,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.6931451805619453,-0.6931451805619453,-13.815510557964274,0.4195288275749247,0.5167834580156179,-1.0
7274,100576815,unnamed,2.0,4.0,2.3333333333333335,0.0,0.6931476805598203,0.1541515369697481,-13.815510557964274,0.5694928487880899,0.6147204997166631,-1.0
7318,726864,LOC726864,2.3333333333333335,1.6666666666666667,2.0,0.0,-0.33647083662219285,-0.1541495131612722,-13.815510557964274,0.458112535520655,0.5790847039223423,-1.0
7362,100578623,LOC100578623,1.0,0.6666666666666666,1.6666666666666667,0.0,-0.4054636081092894,0.5108262237658107,-13.815510557964274,0.4506491533328003,0.6559476907958575,-1.0
7398,100576940,LOC100576940,0.3333333333333333,1.0,0.0,0.0,1.0986126220013874,-13.815510557964274,-13.815510557964274,0.6133545426514886,-1.0,-1.0
7423,725726,unnamed,1.0,1.3333333333333333,2.0,0.0,0.28768282245149956,0.6931476805598203,-13.815510557964274,0.5256311639393729,0.677021800665004,-1.0
7578,724735,LOC724735,1.0,0.0,0.3333333333333333,0.0,-13.815510557964274,-1.0986092886726098,-13.815510557964274,-1.0,0.46991681207841607,-1.0
7612,724521,LOC724521,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
7804,100576444,LOC100576444,0.6666666666666666,1.3333333333333333,1.0,0.0,0.6931476805598203,0.40546577477460877,-13.815510557964274,0.5694928487880899,0.6437693234388444,-1.0
7835,100578663,unnamed,1.3333333333333333,3.0,0.3333333333333333,0.0,0.8109306606606745,-1.3862903611278907,-13.815510557964274,0.582234174825145,0.43666443117490994,-1.0
7856,100578967,LOC100578967,1.6666666666666667,9.0,1.3333333333333333,0.0,1.6863991387553967,-0.22314230131499105,-13.815510557964274,0.6769391084668128,0.5711099892436802,-1.0
7978,726676,cad,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
8020,100576429,unnamed,2.0,3.0,0.0,1.0,0.40546577477460877,-13.815510557964274,-0.6931451805619453,0.5383724869715345,-1.0,0.4594858292281425
8111,100315682,Mir1000,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
8142,100576473,LOC100576473,0.3333333333333333,0.3333333333333333,1.0,0.0,9.999994999180668e-07,1.0986126220013874,-13.815510557964274,0.4945108111374954,0.7238885429249717,-1.0
8143,100576445,LOC100576445,1.0,1.0,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
8203,100578712,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
8215,100577859,unnamed,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,1.3862946111198593,9.999994999180668e-07,-13.815510557964274,0.6444749134827275,0.5969026004434619,-1.0
8233,100577852,LOC100577852,0.3333333333333333,0.0,2.0,0.0,-13.815510557964274,1.7917596358947079,-13.815510557964274,-1.0,0.8040077816756943,-1.0
8310,100577411,unnamed,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,-0.6931451805619453,9.999994999180668e-07,-13.815510557964274,0.4195288275749247,0.5969026004434619,-1.0
8330,100579019,LOC100579019,1.0,0.6666666666666666,0.0,0.0,-0.4054636081092894,-13.815510557964274,-13.815510557964274,0.4506491533328003,-1.0,-1.0
8415,100576459,unnamed,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
8434,677675,Obp9,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,9.999994999180668e-07,-0.6931451805619453,-13.815510557964274,0.4945108111374954,0.5167834580156179,-1.0
8439,100315670,Mir79,1.0,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
8526,100578595,unnamed,1.0,2.0,0.6666666666666666,0.0,0.6931476805598203,-0.4054636081092894,-13.815510557964274,0.5694928487880899,0.5500358967126486,-1.0
8551,724436,LOC724436,0.6666666666666666,0.3333333333333333,0.0,0.0,-0.6931451805619453,-13.815510557964274,-13.815510557964274,0.4195288275749247,-1.0,-1.0
8563,100578275,unnamed,0.3333333333333333,0.3333333333333333,0.0,0.5,9.999994999180668e-07,-13.815510557964274,0.40546577477460877,0.4945108111374954,-1.0,0.5816747086743492
8688,727145,LOC727145,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,-0.6931451805619453,9.999994999180668e-07,-13.815510557964274,0.4195288275749247,0.5969026004434619,-1.0
8831,100576204,unnamed,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.0,9.999994999180668e-07,0.9162911318740753,-13.815510557964274,0.4945108111374954,0.7028144292029068,-1.0
8847,726094,LOC726094,0.3333333333333333,1.3333333333333333,0.0,0.5,1.3862946111198593,-13.815510557964274,0.40546577477460877,0.6444749134827275,-1.0,0.5816747086743492
8850,100315675,Mir929,1.0,0.0,0.3333333333333333,0.5,-13.815510557964274,-1.0986092886726098,-0.6931451805619453,-1.0,0.46991681207841607,0.4594858292281425
8860,732508,Mir315,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
8899,100576568,LOC100576568,2.3333333333333335,0.3333333333333333,0.0,0.5,-1.9459031490798133,-13.815510557964274,-1.5404403742913713,0.28401011588383596,-1.0,0.36524860195578235
8958,100577837,unnamed,1.0,0.0,1.0,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
9034,100315673,Mir927a,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
9044,100578609,LOC100578609,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,1.6094381124340806,0.6931476805598203,-13.815510557964274,0.6686137500180231,0.677021800665004,-1.0
9103,725007,LOC725007,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6931476805598203,-0.6931451805619453,-13.815510557964274,0.5694928487880899,0.5167834580156179,-1.0
9224,100578452,unnamed,1.6666666666666667,1.0,1.3333333333333333,0.0,-0.5108239571007129,-0.22314230131499105,-13.815510557964274,0.4392516614648909,0.5711099892436802,-1.0
9274,100577558,LOC100577558,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
9318,100577952,unnamed,1.3333333333333333,0.6666666666666666,0.0,1.0,-0.6931451805619453,-13.815510557964274,-0.28768073911933645,0.4195288275749247,-1.0,0.5045820896600051
9368,412424,LOC412424,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,9.999994999180668e-07,9.999994999180668e-07,-13.815510557964274,0.4945108111374954,0.5969026004434619,-1.0
9471,100577628,unnamed,0.6666666666666666,1.0,1.0,0.0,0.40546577477460877,0.40546577477460877,-13.815510557964274,0.5383724869715345,0.6437693234388444,-1.0
9478,100578384,unnamed,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,9.999994999180668e-07,0.6931476805598203,-13.815510557964274,0.4945108111374954,0.677021800665004,-1.0
9540,724462,LOC724462,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.0,0.5596163593638309,0.5596163593638309,-13.815510557964274,0.5550479256076781,0.6615872282162112,-1.0
9723,726362,LOC726362,1.3333333333333333,1.6666666666666667,0.0,1.0,0.22314435131388988,-13.815510557964274,-0.28768073911933645,0.5186496314463656,-1.0,0.5045820896600051
9750,100578465,unnamed,1.0,1.0,0.3333333333333333,0.0,9.999994999180668e-07,-1.0986092886726098,-13.815510557964274,0.4945108111374954,0.46991681207841607,-1.0
9827,100576231,LOC100576231,0.3333333333333333,0.0,0.3333333333333333,0.0,-13.815510557964274,9.999994999180668e-07,-13.815510557964274,-1.0,0.5969026004434619,-1.0
10056,100577087,unnamed,0.6666666666666666,0.0,0.3333333333333333,0.0,-13.815510557964274,-0.6931451805619453,-13.815510557964274,-1.0,0.5167834580156179,-1.0
10098,732502,Mir278,0.3333333333333333,0.3333333333333333,0.0,0.0,9.999994999180668e-07,-13.815510557964274,-13.815510557964274,0.4945108111374954,-1.0,-1.0
10286,100576575,unnamed,0.6666666666666666,1.0,0.0,0.0,0.40546577477460877,-13.815510557964274,-13.815510557964274,0.5383724869715345,-1.0,-1.0
10385,100576772,LOC100576772,0.3333333333333333,1.6666666666666667,0.0,0.0,1.6094381124340806,-13.815510557964274,-13.815510557964274,0.6686137500180231,-1.0,-1.0
10399,724246,LOC724246,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6931476805598203,0.6931476805598203,-13.815510557964274,0.5694928487880899,0.677021800665004,-1.0
10435,100315686,Mir29b,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
10574,726852,LOC726852,0.3333333333333333,0.0,0.6666666666666666,0.0,-13.815510557964274,0.6931476805598203,-13.815510557964274,-1.0,0.677021800665004,-1.0
10643,724565,LOC724565,1.3333333333333333,4.666666666666667,3.6666666666666665,0.0,1.252763254209613,1.0116012753147774,-13.815510557964274,0.6300299864388796,0.7138311052970587,-1.0
10652,100578827,unnamed,0.6666666666666666,0.0,0.0,0.5,-13.815510557964274,-13.815510557964274,-0.28768073911933645,-1.0,-1.0,0.5045820896600051
10718,100577090,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
10751,100577684,unnamed,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
10829,100577510,LOC100577510,0.3333333333333333,0.0,0.0,0.0,-13.815510557964274,-13.815510557964274,-13.815510557964274,-1.0,-1.0,-1.0
10902,677673,Obp14,5.0,4.333333333333333,2.0,0.0,-0.14309968979518523,-0.91628823187728,-13.815510557964274,0.47903070914618606,0.49099087571265265,-1.0
10975,410495,LOC410495,2.6666666666666665,4.0,1.3333333333333333,0.0,0.40546577477460877,-0.6931451805619453,-13.815510557964274,0.5383724869715345,0.5167834580156179,-1.0
10990,100577662,unnamed,1.0,0.0,1.3333333333333333,0.5,-13.815510557964274,0.28768282245149956,-0.6931451805619453,-1.0,0.6301550680373309,0.4594858292281425
11015,724425,LOC724425,0.6666666666666666,1.0,0.0,1.5,0.40546577477460877,-13.815510557964274,0.8109306606606745,0.5383724869715345,-1.0,0.6267710185377668
